2024-12-26 00:47:51,090 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:47:51,091 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 00:47:51,092 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 00:48:21,168 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:48:21,169 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:48:21,169 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:48:21,169 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:48:21,169 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:48:21,170 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.1, diff=17179869184
2024-12-26 00:48:21,171 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.15000000000000002, diff=17179869184
2024-12-26 00:48:21,172 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.20000000000000004, diff=17179869184
2024-12-26 00:48:21,172 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.25000000000000006, diff=17179869184
2024-12-26 00:48:21,176 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.7999999999999999, diff=17179869184
2024-12-26 00:48:21,173 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.30000000000000004, diff=17179869184
2024-12-26 00:48:21,174 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.9, diff=17179869184
2024-12-26 00:48:21,175 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.85, diff=17179869184
2024-12-26 00:48:21,176 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.75, diff=17179869184
2024-12-26 00:48:21,180 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.7, diff=17179869184
2024-12-26 00:48:21,186 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:48:21,189 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.3500000000000001, diff=17179869184
2024-12-26 00:48:21,187 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:48:21,189 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.6499999999999999, diff=17179869184
2024-12-26 00:48:21,192 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.40000000000000013, diff=17179869184
2024-12-26 00:49:29,737 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:49:29,737 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:49:29,737 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:49:29,738 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:49:29,738 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:49:29,739 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.1, diff=17179869184
2024-12-26 00:49:29,739 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.15000000000000002, diff=17179869184
2024-12-26 00:49:29,740 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.20000000000000004, diff=17179869184
2024-12-26 00:49:29,740 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.30000000000000004, diff=17179869184
2024-12-26 00:49:29,741 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.25000000000000006, diff=17179869184
2024-12-26 00:49:29,742 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.9, diff=17179869184
2024-12-26 00:49:29,742 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.85, diff=17179869184
2024-12-26 00:49:29,743 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.7999999999999999, diff=17179869184
2024-12-26 00:49:29,743 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.7, diff=17179869184
2024-12-26 00:49:29,744 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.75, diff=17179869184
2024-12-26 00:49:40,702 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:49:40,705 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.3500000000000001, diff=17179869184
2024-12-26 00:49:40,706 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.6499999999999999, diff=17179869184
2024-12-26 00:49:44,545 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:49:44,546 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.40000000000000013, diff=17179869184
2024-12-26 00:49:44,547 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5999999999999999, diff=17179869184
2024-12-26 00:49:48,003 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:49:48,013 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.45000000000000007, diff=17179869184
2024-12-26 00:49:48,017 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5499999999999999, diff=17179869184
2024-12-26 00:49:52,348 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:49:52,350 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5000000000000001, diff=17179869184
2024-12-26 00:49:52,350 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.4999999999999999, diff=17179869184
2024-12-26 00:50:40,438 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:50:40,439 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 00:50:40,440 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 00:53:19,643 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:53:19,645 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 00:53:19,646 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 00:56:48,509 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:56:48,510 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 00:56:48,510 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 00:59:31,910 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 00:59:31,911 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 00:59:31,912 - chain - INFO - Initializing Chain honestfork with target_time=13, compute_power=0.5, diff=17179869184
2024-12-26 01:05:29,374 - chain - INFO - Initializing Chain mainchain with target_time=13, compute_power=1, diff=17179869184
2024-12-26 01:05:29,375 - chain - INFO - Initializing Chain attackfork with target_time=13, compute_power=0.5, diff=17179869184
